total_orders,avg_discount,success_rate,avg_order_gap,actual_churn,churn_probability,risk_level,customer_id,segment,clv_proxy
3,0.27666666666666667,1.0,174.0,0,0.5721530483075781,Medium Risk,24883,1,5.786666666666667
4,0.28500000000000003,1.0,200.0,0,0.37376622627514366,Low Risk,3208,1,9.295
9,0.2788888888888889,0.5555555555555556,62.125,0,0.086411907713553,Low Risk,10953,2,18.027777777777775
6,0.295,1.0,89.8,0,0.31490430165544436,Low Risk,4883,2,11.985000000000001
6,0.21666666666666667,1.0,138.6,0,0.23307619891876166,Low Risk,10557,1,8.616666666666667
2,0.155,0.5,504.0,0,0.12730017258236725,Low Risk,11804,0,2.535
5,0.21200000000000002,1.0,105.75,1,0.4190095384688527,Medium Risk,23247,1,10.244
4,0.3225,0.75,238.33333333333334,0,0.298524794877354,Low Risk,49604,1,5.42
6,0.19499999999999998,1.0,112.8,0,0.27335011608403453,Low Risk,22822,2,10.465
3,0.14333333333333334,1.0,110.5,1,0.691863123925704,Medium Risk,39528,3,5.996666666666667
6,0.3383333333333333,0.8333333333333334,96.0,1,0.3015821405099977,Low Risk,11524,2,12.571666666666665
3,0.33,0.6666666666666666,296.0,0,0.32053503451584003,Low Risk,18713,0,4.02
4,0.25,1.0,195.33333333333334,0,0.3822121473161628,Low Risk,43984,1,9.0
4,0.245,1.0,176.0,0,0.4208350478414684,Medium Risk,11754,1,9.815
9,0.25111111111111106,0.8888888888888888,81.875,0,0.07611180598448994,Low Risk,38922,2,17.973333333333336
4,0.1325,0.75,207.0,0,0.3522249193704774,Low Risk,6967,1,7.807499999999999
2,0.33499999999999996,1.0,631.0,0,0.05091137746302595,Low Risk,10444,0,3.99
3,0.2633333333333333,1.0,103.0,0,0.7071702716241177,High Risk,34609,1,3.6833333333333336
8,0.23500000000000001,0.875,87.85714285714286,0,0.12365364495861302,Low Risk,45487,2,13.77
6,0.28833333333333333,1.0,99.0,1,0.2984699782792142,Low Risk,12597,2,10.675
4,0.26,1.0,186.66666666666666,0,0.39962510465179374,Low Risk,44433,1,5.92
1,0.49,1.0,0.0,1,0.9498539008714089,High Risk,9681,3,0.51
6,0.29833333333333334,0.8333333333333334,109.0,0,0.27855713111983504,Low Risk,41071,2,8.42
3,0.25,1.0,261.0,0,0.39239051659506824,Low Risk,13322,0,7.5
3,0.26,0.6666666666666666,153.0,1,0.6071604957598844,Medium Risk,20612,3,2.96
4,0.41000000000000003,0.75,42.666666666666664,1,0.6867866639600327,Medium Risk,44114,3,3.54
1,0.36,1.0,0.0,1,0.9493206900808339,High Risk,44046,3,2.56
2,0.07500000000000001,1.0,183.0,1,0.6875928703063409,Medium Risk,19039,3,3.7
7,0.18714285714285714,1.0,60.166666666666664,0,0.24416762457378444,Low Risk,44817,2,15.444285714285714
4,0.185,1.0,139.66666666666666,1,0.4946387168481879,Medium Risk,17037,1,4.89
2,0.265,1.0,352.0,1,0.3533399832501207,Low Risk,34400,0,5.145
5,0.22599999999999998,0.8,143.0,0,0.34215355897107036,Low Risk,27080,1,9.288
2,0.29000000000000004,1.0,212.0,0,0.6377089488499057,Medium Risk,32061,0,2.84
7,0.2414285714285714,0.5714285714285714,106.16666666666667,0,0.175631199664133,Low Risk,37529,2,15.17142857142857
5,0.22600000000000003,1.0,127.75,0,0.3753965556168501,Low Risk,28045,2,12.384
3,0.18000000000000002,1.0,123.0,1,0.6698990171797883,Medium Risk,18153,1,7.38
7,0.3485714285714286,0.7142857142857143,98.0,0,0.18900021050114818,Low Risk,4312,2,13.680000000000001
2,0.13,1.0,44.0,0,0.8757672523479619,High Risk,25185,1,2.61
2,0.43,1.0,343.0,1,0.3739782854048194,Low Risk,4066,0,2.2800000000000002
8,0.28375,0.75,101.0,0,0.11159176834105887,Low Risk,44523,2,15.7575
2,0.33999999999999997,1.0,91.0,1,0.8290527892755688,High Risk,26681,3,3.96
7,0.33,1.0,63.333333333333336,1,0.24156172945340024,Low Risk,1997,2,11.389999999999999
3,0.16333333333333333,0.6666666666666666,87.0,1,0.7266293993042348,High Risk,17260,3,4.183333333333334
7,0.33,1.0,71.5,1,0.2293029786865456,Low Risk,38728,2,12.729999999999999
6,0.2333333333333333,0.8333333333333334,66.2,1,0.3542928588463396,Low Risk,31231,2,9.966666666666667
3,0.18333333333333335,1.0,224.0,1,0.46645416767325615,Medium Risk,30755,0,3.2666666666666666
4,0.2975,1.0,172.0,0,0.43008955357766493,Medium Risk,11609,1,4.215
5,0.26799999999999996,0.6,153.5,0,0.3197168409549167,Low Risk,42113,1,10.98
4,0.27,1.0,153.66666666666666,1,0.46731386353580917,Medium Risk,43268,1,9.49
4,0.15,1.0,199.66666666666666,0,0.3717118496208132,Low Risk,913,1,10.2
8,0.31875,0.875,56.714285714285715,1,0.15559819200499522,Low Risk,25105,2,11.58125
4,0.31,0.75,159.0,0,0.45172160877797646,Medium Risk,25549,1,6.209999999999999
4,0.1625,0.75,44.0,1,0.6797911847588944,Medium Risk,5185,3,8.375
2,0.235,0.5,153.0,0,0.7328941636949137,High Risk,35501,1,3.06
2,0.28,0.5,84.0,1,0.8304348703011256,High Risk,43649,3,5.04
5,0.21200000000000002,1.0,89.25,1,0.4528353949274703,Medium Risk,43000,1,9.456
5,0.366,1.0,114.5,0,0.4045298080083216,Medium Risk,27726,1,6.34
4,0.3125,0.75,191.66666666666666,0,0.38557242175072254,Low Risk,33123,1,4.125
3,0.31666666666666665,0.3333333333333333,288.0,0,0.3285600282060162,Low Risk,42516,0,4.783333333333333
4,0.1525,1.0,88.33333333333333,1,0.5996289940821031,Medium Risk,11974,3,8.475
3,0.2866666666666667,1.0,183.0,0,0.5538978983357609,Medium Risk,18392,1,7.846666666666668
4,0.175,0.75,150.0,0,0.467491236183882,Medium Risk,46006,1,9.899999999999999
4,0.16,0.75,122.33333333333333,0,0.5247927110199934,Medium Risk,11555,1,8.4
6,0.27,0.5,63.2,0,0.3541076115325633,Low Risk,2295,2,12.41
3,0.37333333333333335,1.0,237.5,0,0.44257852699248323,Medium Risk,1119,0,3.1333333333333337
6,0.15,1.0,85.8,0,0.3194389953312404,Low Risk,29494,2,10.2
4,0.17500000000000002,1.0,82.66666666666667,1,0.6113785593736659,Medium Risk,34169,3,8.25
2,0.22,0.0,507.0,0,0.12047325912358543,Low Risk,42985,0,6.24
4,0.2275,1.0,92.66666666666667,1,0.5924741856889257,Medium Risk,49463,1,10.0425
4,0.2,1.0,45.333333333333336,1,0.6827924256738493,Medium Risk,48709,1,6.4
8,0.24625000000000002,1.0,73.71428571428571,0,0.13841845450868207,Low Risk,40678,2,20.351249999999997
3,0.17333333333333334,1.0,111.0,1,0.6915219468286103,Medium Risk,45659,3,5.786666666666667
1,0.49,0.0,0.0,1,0.9455481362562255,High Risk,15838,3,1.53
2,0.41000000000000003,1.0,126.0,1,0.784655584309643,High Risk,3169,3,2.9499999999999997
7,0.2542857142857143,1.0,73.33333333333333,0,0.22547694763981982,Low Risk,26686,2,14.914285714285715
2,0.28500000000000003,1.0,37.0,1,0.8833566682774949,High Risk,1350,3,5.005
4,0.3175,0.5,157.33333333333334,0,0.4499423961564803,Medium Risk,7526,1,8.19
2,0.265,1.0,168.0,1,0.7171316504113795,High Risk,21908,3,2.205
6,0.14,0.8333333333333334,134.8,0,0.2349832869014658,Low Risk,14663,2,12.9
5,0.294,0.8,149.5,0,0.3313469298603894,Low Risk,22443,1,9.884
2,0.265,1.0,363.0,1,0.3326693922872719,Low Risk,21019,0,3.675
5,0.308,0.6,138.0,0,0.34924329027165824,Low Risk,4438,2,10.379999999999999
7,0.31142857142857144,0.8571428571428571,101.33333333333333,0,0.18617065354829623,Low Risk,1351,2,13.082857142857144
2,0.21999999999999997,0.5,154.0,0,0.7310055947423871,High Risk,1423,1,3.9000000000000004
4,0.2975,0.75,123.66666666666667,1,0.5249573915122633,Medium Risk,23414,1,7.025
7,0.29857142857142854,0.8571428571428571,94.5,0,0.19478788223824886,Low Risk,9658,2,14.02857142857143
8,0.13875,1.0,84.14285714285714,0,0.12734065673031406,Low Risk,26213,2,14.64125
5,0.3,1.0,104.25,0,0.4238984933294142,Medium Risk,784,2,9.799999999999999
3,0.2933333333333334,1.0,173.5,1,0.5735229236460004,Medium Risk,7069,1,7.773333333333332
3,0.14333333333333334,1.0,171.5,1,0.5744592160990961,Medium Risk,35451,3,5.996666666666667
3,0.39666666666666667,1.0,223.5,0,0.47204510757011253,Medium Risk,40763,1,4.826666666666666
3,0.27,0.6666666666666666,75.5,0,0.7469940547181941,High Risk,36356,1,5.84
4,0.2125,0.5,160.66666666666666,0,0.4408527590711376,Medium Risk,44640,1,7.875
1,0.01,1.0,0.0,1,0.9478583281989889,High Risk,2226,3,2.9699999999999998
3,0.33666666666666667,1.0,156.0,0,0.6096669288516335,Medium Risk,3856,1,3.98
4,0.3425,1.0,187.0,0,0.40065446096004353,Medium Risk,11191,1,7.89
8,0.26125,0.875,76.28571428571429,0,0.13475955727424688,Low Risk,35390,2,14.775
6,0.3383333333333334,1.0,83.6,1,0.32698237011993764,Low Risk,596,2,9.924999999999999
3,0.13333333333333333,1.0,168.0,1,0.5813708859124886,Medium Risk,22784,1,6.933333333333334
6,0.20333333333333334,0.8333333333333334,78.8,1,0.33006656391081496,Low Risk,5729,2,11.95
7,0.14857142857142858,0.8571428571428571,108.5,0,0.17525749752462585,Low Risk,28886,2,15.325714285714286
6,0.19666666666666666,0.8333333333333334,110.4,0,0.2744785073105145,Low Risk,18033,2,12.853333333333333
3,0.24333333333333332,0.6666666666666666,43.0,0,0.7943630647375991,High Risk,24198,1,8.323333333333334
4,0.28750000000000003,1.0,63.666666666666664,0,0.6504961667739314,Medium Risk,35731,1,4.2749999999999995
3,0.19333333333333333,1.0,214.0,1,0.4874719880400807,Medium Risk,12980,1,4.84
7,0.17714285714285713,1.0,114.0,0,0.1708205508405129,Low Risk,38949,2,13.165714285714285
2,0.22,1.0,393.0,1,0.2788426660890996,Low Risk,10203,0,3.9000000000000004
4,0.25,0.75,78.66666666666667,0,0.6156604330671848,Medium Risk,10061,1,3.75
4,0.28,1.0,146.0,0,0.483473529789808,Medium Risk,37630,1,7.92
3,0.44333333333333336,1.0,166.0,1,0.591856610092982,Medium Risk,37974,1,5.566666666666666
7,0.15571428571428572,0.8571428571428571,94.5,0,0.19287523933032347,Low Risk,15888,2,16.885714285714286
7,0.34142857142857147,0.8571428571428571,98.66666666666667,0,0.18995925327899174,Low Risk,12354,2,14.48857142857143
3,0.2366666666666667,1.0,152.5,1,0.6145636268868471,Medium Risk,1376,3,3.0533333333333332
1,0.41,0.0,0.0,1,0.9451941408969418,High Risk,9591,3,1.1800000000000002
5,0.284,1.0,91.0,1,0.4507482343638981,Medium Risk,21932,1,6.444
2,0.125,0.5,557.0,0,0.08551531192520653,Low Risk,41775,0,3.5
7,0.18571428571428572,1.0,98.16666666666667,0,0.19045917826199718,Low Risk,24457,2,13.028571428571428
4,0.285,1.0,215.0,0,0.34497487809678234,Low Risk,35861,1,7.865000000000001
3,0.15666666666666668,1.0,144.5,1,0.6286446061984013,Medium Risk,49419,1,5.06
5,0.316,0.8,111.75,0,0.40483543559500823,Medium Risk,6846,1,8.892
2,0.315,0.5,118.0,0,0.7872002899861503,High Risk,28151,1,4.795
